ip_address,request_type,response_code,timestamp,page_accessed
192.168.1.1,GET,200,2024-08-20T12:45:30,/home
192.168.1.2,GET,200,2024-08-20T12:46:15,/about
192.168.1.1,POST,404,2024-08-20T12:47:05,/submit
192.168.1.3,GET,500,2024-08-20T12:48:00,/contact
192.168.1.4,GET,200,2024-08-20T12:48:50,/services
192.168.1.2,GET,200,2024-08-20T12:50:10,/home
192.168.1.5,POST,401,2024-08-20T12:51:20,/login
192.168.1.1,GET,200,2024-08-20T12:52:30,/dashboard
192.168.1.4,GET,200,2024-08-20T12:53:15,/about
192.168.1.3,GET,403,2024-08-20T12:54:00,/settings
